Site,Cost 19/20 (Electric),Consumption 19/20 (Electric),Cost 18/19 (Electric),Consumption 18/19 (Electric),Cost 19/20 (Gas),Consumption 19/20 (Gas),Cost 18/19 (Gas) ,Consumption 18/19 (Gas),Total Cost 19/20,Total Consumption 19/20,"CO2e
(grams)",,,,CO2 Conversion factors,
Housing Leeds - Landlords Supply - 1 - 11 Farndale Place  ,£280.56,1126,£277.37,1071.5,,,,,£280.56,1126,287.81,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Iveson Drive  ,£374.97,1753.8,£349.32,1618.4,,,,,£374.97,1753.8,448.27,,,,,
Housing Leeds - Landlords Supply - 1 - 11 King Alfreds Walk  ,£219.14,729.6,£197.12,599.5,,,,,£219.14,729.6,186.49,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Lingfield Crescent  ,£224.95,748.6,£228.25,822.6,,,,,£224.95,748.6,191.34,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Lingfield Grove  ,£293.97,1238.9,£277.69,1183.6,,,,,£293.97,1238.9,316.66,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Lingfield Walk  ,£279.39,1029.5,£298.36,1328.5,,,,,£279.39,1029.5,263.14,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Moor Close  ,£275.01,1089.1,£269.24,1094.5,,,,,£275.01,1089.1,278.37,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Rigton Close  ,£528.65,2817.5,£562.23,3222.2,,,,,£528.65,2817.5,720.15,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Rigton Drive  ,£503.25,2648.6,£460.86,2464.5,,,,,£503.25,2648.6,676.98,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Rossefield Green  ,£320.57,1421.7,£342.50,1651.6,,,,,£320.57,1421.7,363.39,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Rossefield Parade  ,£260.40,990.8,£242.94,929.9,,,,,£260.40,990.8,253.25,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Saxon Mount  ,£339.13,1511.8,£323.79,1506.2,,,,,£339.13,1511.8,386.42,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Shakespeare Close  ,£484.66,2457.6,£477.53,2579.3,,,,,£484.66,2457.6,628.16,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Shakespeare Gardens  ,£309.58,1325.6,£246.08,941.6,,,,,£309.58,1325.6,338.82,,,,,
Housing Leeds - Landlords Supply - 1 - 11 Snowden Walk  ,£282.25,1115.5,£316.27,1466.3,,,,,£282.25,1115.5,285.12,,,,,
Housing Leeds - Landlords Supply - 1 - 11 St Albans Approach  ,£461.71,2369.5,£614.85,3310.1,,,,,£461.71,2369.5,605.64,,,,,
Housing Leeds - Landlords Supply - 1 - 12 Fairfax Flats  ,£632.76,3532.3,£574.80,3310.7,,,,,£632.76,3532.3,902.86,,,,,
Housing Leeds - Landlords Supply - 1 - 15 Clifton Court  ,£741.98,4324.7,£370.47,1856.5,,,,,£741.98,4324.7,"1,105.39",,,,,
Housing Leeds - Landlords Supply - 1 - 17 Fir Tree Rise  ,£402.05,1991.7,£274.75,1153.7,,,,,£402.05,1991.7,509.08,,,,,
Housing Leeds - Landlords Supply - 1 - 17 Leafield Drive  ,£227.62,774.4,£218.77,755.8,,,,,£227.62,774.4,197.94,,,,,
Housing Leeds - Landlords Supply - 1 - 17 Mount Pleasant Gardens  ,£347.59,1535,£509.68,2870.8,,,,,£347.59,1535,392.35,,,,,
Housing Leeds - Landlords Supply - 1 - 17 Queenshill Crescent  ,£370.37,1726.8,£333.12,1596.4,,,,,£370.37,1726.8,441.37,,,,,
Housing Leeds - Landlords Supply - 1 - 17 Theaker Lane  ,£530.34,2787.7,£505.62,2849.4,,,,,£530.34,2787.7,712.54,,,,,
Housing Leeds - Landlords Supply - 1 - 18 Rutland Court  ,£551.20,2108.7,£822.39,4119.1,,,,,£551.20,2108.7,538.98,,,,,
Housing Leeds - Landlords Supply - 1 - 25 Lincombe Rise  ,£418.02,2005.8,£334.22,817.7,,,,,£418.02,2005.8,512.68,,,,,
Housing Leeds - Landlords Supply - 1 - 25 Stead Lane & 1 - 7 Moat End  ,£696.43,3781.7,£691.35,4070.6,,,,,£696.43,3781.7,966.60,,,,,
Housing Leeds - Landlords Supply - 1 - 3 Bawn Gardens  ,£635.20,3138.5,£627.30,3350.1,,,,,£635.20,3138.5,802.20,,,,,
Housing Leeds - Landlords Supply - 1 - 4 King George Road  ,£285.74,1042.4,£281.23,1127.2,,,,,£285.74,1042.4,266.44,,,,,
Housing Leeds - Landlords Supply - 1 - 4 Railway Close  ,£164.84,367.7,£168.45,369.9,,,,,£164.84,367.7,93.98,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Beckhill Vale  ,£242.56,877.9,£197.46,596.2,,,,,£242.56,877.9,224.39,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Durham Court  ,£383.89,1758.7,£633.53,3783.8,,,,,£383.89,1758.7,449.52,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Elmfield Court  ,£550.12,2951.4,£519.38,2923.9,,,,,£550.12,2951.4,754.38,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Elmfield House  ,£671.67,3761.1,£626.86,3724.6,,,,,£671.67,3761.1,961.34,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Lewisham Court  ,£301.00,1261.2,£299.95,1352.9,,,,,£301.00,1261.2,322.36,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Mandela Court  ,£286.13,1225.2,£293.82,1363.8,,,,,£286.13,1225.2,313.16,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Raynville Dene  ,£237.13,934.7,£274.61,1100.3,,,,,£237.13,934.7,238.91,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Saxton House   ,£282.58,1133.5,£283.84,1235.2,,,,,£282.58,1133.5,289.72,,,,,
Housing Leeds - Landlords Supply - 1 - 6 Sledmere Croft  ,£278.75,1123.6,£266.85,1106.7,,,,,£278.75,1123.6,287.19,,,,,
Housing Leeds - Landlords Supply - 1 - 7 Farrow Green  ,£327.09,1333.2,£304.91,1373.4,,,,,£327.09,1333.2,340.77,,,,,
Housing Leeds - Landlords Supply - 1 - 7 Field End  ,£314.85,1281.6,£251.51,990.2,,,,,£314.85,1281.6,327.58,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Hansby Grange  ,£414.08,2013.7,£392.31,2016.9,,,,,£414.08,2013.7,514.70,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Hemingway Garth  ,£752.22,4160.2,£918.26,5651.7,,,,,£752.22,4160.2,"1,063.35",,,,,
Housing Leeds - Landlords Supply - 1 - 8 Iveson Gardens  ,£318.71,1284,£318.67,1489.1,,,,,£318.71,1284,328.19,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Lincoln Court  ,£402.27,1950.3,£431.84,2256.1,,,,,£402.27,1950.3,498.50,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Lindsey Court  ,£374.09,1754,£337.78,1631,,,,,£374.09,1754,448.32,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Marlborough Grange  ,£403.86,1782.5,£344.22,1679.6,,,,,£403.86,1782.5,455.61,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Marshall Close  ,£516.81,2750.8,£308.96,1368.6,,,,,£516.81,2750.8,703.10,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Neath Gardens  ,£720.35,4123.6,£670.20,3993.9,,,,,£720.35,4123.6,"1,053.99",,,,,
Housing Leeds - Landlords Supply - 1 - 8 Park Lea  ,£231.39,791.9,£220.01,773.1,,,,,£231.39,791.9,202.41,,,,,
Housing Leeds - Landlords Supply - 1 - 8 Queenswood Rise  ,£503.84,2668.7,£536.26,3027.8,,,,,£503.84,2668.7,682.12,,,,,
Housing Leeds - Landlords Supply - 1 - 9 Abbey Garth  ,£356.19,1631.7,£437.63,2327.8,,,,,£356.19,1631.7,417.06,,,,,
Housing Leeds - Landlords Supply - 1 - 9 Beverley Court  ,£552.45,2997.5,£518.86,2927.9,,,,,£552.45,2997.5,766.16,,,,,
Housing Leeds - Landlords Supply - 1 - 9 York House  ,£750.67,4399.8,£537.25,3068.1,,,,,£750.67,4399.8,"1,124.59",,,,,
Housing Leeds - Landlords Supply - 1 - 9A Church Street  ,£236.59,825.3,£274.89,1160.1,,,,,£236.59,825.3,210.95,,,,,
Housing Leeds - Landlords Supply - 1 Beechwood Crescent Flats  ,£250.00,906,£244.59,961,,,,,£250.00,906,231.57,,,,,
Housing Leeds - Landlords Supply - 1 Blenheim Square Flats  ,£116.27,77.3,£141.43,196.2,,,,,£116.27,77.3,19.76,,,,,
Housing Leeds - Landlords Supply - 1 Burton Street Flats  ,£340.69,1534.9,£343.73,1648.6,,,,,£340.69,1534.9,392.32,,,,,
Housing Leeds - Landlords Supply - 1 Grange Crescent Flats  ,£125.69,78.7,£125.44,75.4,,,,,£125.69,78.7,20.12,,,,,
Housing Leeds - Landlords Supply - 1 Melrose Grove Flats  ,£197.69,566.5,£198.38,606.1,,,,,£197.69,566.5,144.80,,,,,
Housing Leeds - Landlords Supply - 1 Regent Close Flats  ,£238.72,849.9,£249.16,962.7,,,,,£238.72,849.9,217.23,,,,,
Housing Leeds - Landlords Supply - 1 Regent Court Flats  ,£473.61,2405.1,£467.58,2589.1,,,,,£473.61,2405.1,614.74,,,,,
Housing Leeds - Landlords Supply - 1 Regent Crescent Flats  ,£303.71,1274.7,£288.27,1261.2,,,,,£303.71,1274.7,325.81,,,,,
Housing Leeds - Landlords Supply - 1 Spencer Place Flats   ,£164.68,240.2,£156.07,300.7,,,,,£164.68,240.2,61.40,,,,,
Housing Leeds - Landlords Supply - 1 St James Drive Flats  ,£371.03,1967.8,£417.66,2193.1,,,,,£371.03,1967.8,502.97,,,,,
Housing Leeds - Landlords Supply - 1 Wetherby Road Flats  ,£177.86,438.1,£163.81,376.5,,,,,£177.86,438.1,111.98,,,,,
Housing Leeds - Landlords Supply - 1 Woodland Terrace Flats  ,£162.95,304.5,£175.90,356,,,,,£162.95,304.5,77.83,,,,,
Housing Leeds - Landlords Supply - 10 - 12 Queenswood Drive  ,£477.18,2462.9,£481.92,2558.9,,,,,£477.18,2462.9,629.52,,,,,
Housing Leeds - Landlords Supply - 10 - 16 Baildon Close  ,£112.03,0,£125.27,79.7,,,,,£112.03,0,0.00,,,,,
Housing Leeds - Landlords Supply - 10 - 16 Ganners Garth  ,£263.24,1000.6,£269.60,1039.5,,,,,£263.24,1000.6,255.75,,,,,
Housing Leeds - Landlords Supply - 10 - 20 Naseby View  ,£293.67,1179.5,£332.16,1584.1,,,,,£293.67,1179.5,301.48,,,,,
Housing Leeds - Landlords Supply - 10 - 20 Snowden Close  ,£318.34,1386.6,£323.10,1372.5,,,,,£318.34,1386.6,354.41,,,,,
Housing Leeds - Landlords Supply - 10 - 20 Stanks Grove  ,£306.72,1319.3,£267.55,1111.7,,,,,£306.72,1319.3,337.21,,,,,
Housing Leeds - Landlords Supply - 10 - 20 Tynwald Walk  ,£356.58,1646.5,£333.64,1577.9,,,,,£356.58,1646.5,420.85,,,,,
Housing Leeds - Landlords Supply - 10 Blenheim Square Flats  ,£151.76,315.8,£149.53,389,,,,,£151.76,315.8,80.72,,,,,
Housing Leeds - Landlords Supply - 10 Park Mount Flats  ,£131.85,13,£126.76,4.5,,,,,£131.85,13,3.32,,,,,
Housing Leeds - Landlords Supply - 102 - 116 Queenshill Avenue  ,£399.29,1932.9,£368.82,1857.5,,,,,£399.29,1932.9,494.05,,,,,
Housing Leeds - Landlords Supply - 103 - 113 Spen Approach  ,£385.07,1840.7,£378.31,1910.3,,,,,£385.07,1840.7,470.48,,,,,
Housing Leeds - Landlords Supply - 103 Spencer Place Flats  ,£133.17,132.1,£138.42,174.3,,,,,£133.17,132.1,33.76,,,,,
Housing Leeds - Landlords Supply - 104 Harehills Avenue Flats  ,£303.36,1090.2,£114.88,3.3,,,,,£303.36,1090.2,278.66,,,,,
Housing Leeds - Landlords Supply - 106 - 116 Fearnville Road  ,£275.31,1091.4,£301.12,1376.8,,,,,£275.31,1091.4,278.96,,,,,
Housing Leeds - Landlords Supply - 108 - 130 Brackenwood Drive  ,£285.12,1160.4,£249.49,971,,,,,£285.12,1160.4,296.60,,,,,
Housing Leeds - Landlords Supply - 11 - 17 Oxton Way  ,£395.66,1896.1,£391.90,2018.6,,,,,£395.66,1896.1,484.64,,,,,
Housing Leeds - Landlords Supply - 11 - 20 Blackburn Court  ,£416.77,2054.4,£426.20,2253.9,,,,,£416.77,2054.4,525.10,,,,,
Housing Leeds - Landlords Supply - 11 - 27 Beckett Street  ,£524.37,2721,£641.10,3556.6,,,,,£524.37,2721,695.49,,,,,
Housing Leeds - Landlords Supply - 11 Bainbrigge Road Flats  ,£382.89,1753.5,£115.83,10.4,,,,,£382.89,1753.5,448.19,,,,,
Housing Leeds - Landlords Supply - 11 Fink Hill Flats  ,£385.45,1844.4,£307.41,1394.4,,,,,£385.45,1844.4,471.43,,,,,
Housing Leeds - Landlords Supply - 11 Grange Terrace Flats  ,£120.43,48.9,£120.08,41.1,,,,,£120.43,48.9,12.50,,,,,
Housing Leeds - Landlords Supply - 11 Grange View Flats  ,£115.22,13.6,£116.27,13.8,,,,,£115.22,13.6,3.48,,,,,
Housing Leeds - Landlords Supply - 11 Hamilton Avenue Flats  ,£113.05,0,£114.08,0,,,,,£113.05,0,0.00,,,,,
Housing Leeds - Landlords Supply - 110 - 120 Tinshill Lane  ,£348.66,1474.6,£405.32,2020.3,,,,,£348.66,1474.6,376.91,,,,,
Housing Leeds - Landlords Supply - 111 Victoria Road Flats  ,£240.21,857.5,£233.69,866.3,,,,,£240.21,857.5,219.18,,,,,
Housing Leeds - Landlords Supply - 112 - 122 West Park Grove  ,£358.26,1644.1,£295.75,1299.2,,,,,£358.26,1644.1,420.23,,,,,
Housing Leeds - Landlords Supply - 112 - 126 Fir Tree Approach  ,£366.61,1706.5,£360.11,1775.6,,,,,£366.61,1706.5,436.18,,,,,
Housing Leeds - Landlords Supply - 113 Victoria Road Flats  ,£293.41,1210.8,£286.88,1263.2,,,,,£293.41,1210.8,309.48,,,,,
Housing Leeds - Landlords Supply - 114 - 124 Stanks Gardens  ,£348.76,1591.3,£308.01,1412.9,,,,,£348.76,1591.3,406.74,,,,,
Housing Leeds - Landlords Supply - 115 - 117 Spen Approach  ,£601.12,3289.2,£503.06,2824.6,,,,,£601.12,3289.2,840.72,,,,,
Housing Leeds - Landlords Supply - 115 - 125 Dewsbury Road  ,£309.04,1319.2,£308.70,1424,,,,,£309.04,1319.2,337.19,,,,,
Housing Leeds - Landlords Supply - 118 - 128 Fearnville Road  ,£231.58,796.8,£284.59,1223.7,,,,,£231.58,796.8,203.66,,,,,
Housing Leeds - Landlords Supply - 118 - 132 Queenshill Avenue  ,£333.13,1490.4,£334.33,1587.9,,,,,£333.13,1490.4,380.95,,,,,
Housing Leeds - Landlords Supply - 119 - 129 Silk Mill Drive  ,£319.30,1391.4,£311.71,1430,,,,,£319.30,1391.4,355.64,,,,,
Housing Leeds - Landlords Supply - 12 - 16 Lindsey Road  ,£602.97,3337.4,£484.44,2811.8,,,,,£602.97,3337.4,853.04,,,,,
Housing Leeds - Landlords Supply - 12 - 18 Greenlea Avenue  ,£192.91,550.9,£128.60,238.1,,,,,£192.91,550.9,140.81,,,,,
Housing Leeds - Landlords Supply - 12 Clarendon Place Flats  ,£168.65,377,£165.08,367.8,,,,,£168.65,377,96.36,,,,,
Housing Leeds - Landlords Supply - 12 Harehills Avenue Flats  ,£118.49,37.1,£116.01,12,,,,,£118.49,37.1,9.48,,,,,
Housing Leeds - Landlords Supply - 12 Newton Grove Flats  ,£277.09,1112.4,£235.59,884.1,,,,,£277.09,1112.4,284.33,,,,,
Housing Leeds - Landlords Supply - 12 Tofts House Close  ,£165.92,243.4,£162.85,241.6,,,,,£165.92,243.4,62.21,,,,,
Housing Leeds - Landlords Supply - 121 Lane End Flats  ,£225.73,777.6,£206.21,652.4,,,,,£225.73,777.6,198.75,,,,,
Housing Leeds - Landlords Supply - 123 - 125 Highways  ,£357.35,1678.4,£244.56,946.9,,,,,£357.35,1678.4,429.00,,,,,
Housing Leeds - Landlords Supply - 123 - 133 Whinmoor Way  ,£317.64,1364.8,£298.99,1392.5,,,,,£317.64,1364.8,348.84,,,,,
Housing Leeds - Landlords Supply - 124 - 134 Swinnow Lane  ,£113.05,0,£114.20,0,,,,,£113.05,0,0.00,,,,,
Housing Leeds - Landlords Supply - 126 - 128 Highways  ,£517.04,2678.3,£756.98,4557.9,,,,,£517.04,2678.3,684.57,,,,,
Housing Leeds - Landlords Supply - 127 - 149 Argie Avenue  ,£716.30,4099.8,£562.09,3238.5,,,,,£716.30,4099.8,"1,047.91",,,,,
Housing Leeds - Landlords Supply - 13 - 18 Elmfield Court  ,£395.99,1927.3,£378.48,1931,,,,,£395.99,1927.3,492.62,,,,,
Housing Leeds - Landlords Supply - 13 - 18 Lewisham Court  ,£329.99,1457.6,£351.26,1720.8,,,,,£329.99,1457.6,372.56,,,,,
Housing Leeds - Landlords Supply - 13 - 24 Fairfax Flats  ,£709.39,4053.9,£692.41,4170.7,,,,,£709.39,4053.9,"1,036.18",,,,,
Housing Leeds - Landlords Supply - 13 Bainbrigge Road Flats  ,£163.96,239.6,£147.77,242.7,,,,,£163.96,239.6,61.24,,,,,
Housing Leeds - Landlords Supply - 13 Fink Hill Flats  ,£293.11,1208,£290.56,1270.8,,,,,£293.11,1208,308.76,,,,,
Housing Leeds - Landlords Supply - 13 Hamilton Avenue Flats  ,£167.97,374.6,£127.41,9,,,,,£167.97,374.6,95.75,,,,,
Housing Leeds - Landlords Supply - 13 St Marys Road Flats  ,£134.30,144.9,£133.79,132.7,,,,,£134.30,144.9,37.04,,,,,
Housing Leeds - Landlords Supply - 130 - 132 Highways  ,£259.13,987.1,£250.77,986.1,,,,,£259.13,987.1,252.30,,,,,
Housing Leeds - Landlords Supply - 131 - 141 Silk Mill Drive  ,£312.30,1390.2,£394.62,2026.1,,,,,£312.30,1390.2,355.34,,,,,
Housing Leeds - Landlords Supply - 134 - 148 Queenshill Avenue  ,£351.94,1526.8,£259.63,1057.7,,,,,£351.94,1526.8,390.25,,,,,
Housing Leeds - Landlords Supply - 136 - 146 Swinnow Lane  ,£278.28,1100.7,£292.26,1202.8,,,,,£278.28,1100.7,281.34,,,,,
Housing Leeds - Landlords Supply - 139 Cardigan Road Flats  ,£131.58,11.9,£132.42,21,,,,,£131.58,11.9,3.04,,,,,
Housing Leeds - Landlords Supply - 14 - 16 Broadgate Drive  ,£201.42,591.1,£186.58,527.8,,,,,£201.42,591.1,151.09,,,,,
Housing Leeds - Landlords Supply - 14 - 16 Queenswood Drive  ,£467.55,2385.7,£549.85,3125.7,,,,,£467.55,2385.7,609.78,,,,,
Housing Leeds - Landlords Supply - 14 - 17 Railway Close  ,£208.25,838.9,£104.04,516.5,,,,,£208.25,838.9,214.42,,,,,
Housing Leeds - Landlords Supply - 14 - 18 Haslewood Court  ,£564.58,3084.5,£744.65,4265.2,,,,,£564.58,3084.5,788.40,,,,,
Housing Leeds - Landlords Supply - 14 - 18 Haslewood Green  ,£510.49,2649.4,£511.10,2843.7,,,,,£510.49,2649.4,677.19,,,,,
Housing Leeds - Landlords Supply - 14 - 18 Haslewood Square  ,£527.04,2788.7,£461.99,2482.5,,,,,£527.04,2788.7,712.79,,,,,
Housing Leeds - Landlords Supply - 14 - 19 Mandela Court  ,£381.48,1884.3,£342.83,1736.1,,,,,£381.48,1884.3,481.63,,,,,
Housing Leeds - Landlords Supply - 14 - 20 Shakespeare Close  ,£432.93,2116.2,£441.61,2415.1,,,,,£432.93,2116.2,540.90,,,,,
Housing Leeds - Landlords Supply - 14 - 22 Stanks Way  ,£475.19,2445.8,£485.46,2688.6,,,,,£475.19,2445.8,625.15,,,,,
Housing Leeds - Landlords Supply - 14 - 24 & 26 - 36 Old Oak Garth  ,£638.55,3525.1,£623.89,3703.5,,,,,£638.55,3525.1,901.02,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Bank Avenue  ,£194.14,547.2,£180.21,468.9,,,,,£194.14,547.2,139.86,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Bank Street  ,£179.13,444.6,£183.12,495,,,,,£179.13,444.6,113.64,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Crimbles Place  ,£361.27,1662.1,£356.31,1758.7,,,,,£361.27,1662.1,424.83,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Eastwood Nook  ,£218.59,713.5,£214.67,727.2,,,,,£218.59,713.5,182.37,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Ganners Walk  ,£221.38,733.5,£212.05,708.6,,,,,£221.38,733.5,187.48,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Ganners Way  ,£262.44,1011.1,£243.26,937.5,,,,,£262.44,1011.1,258.44,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Holdforth Gardens  ,£216.84,698.2,£207.27,674.9,,,,,£216.84,698.2,178.46,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Kepstorn Close  ,£510.61,2672.9,£452.84,2499.4,,,,,£510.61,2672.9,683.19,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Lingfield Bank  ,£262.15,1002.8,£260.79,1059.4,,,,,£262.15,1002.8,256.32,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Lingfield Close  ,£393.47,1907.9,£368.12,1842.4,,,,,£393.47,1907.9,487.66,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Lingfield Crescent  ,£330.86,1469.4,£363.93,1813.4,,,,,£330.86,1469.4,375.58,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Lingfield Grove  ,£264.76,1025.2,£260.10,1050.6,,,,,£264.76,1025.2,262.04,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Lingfield Walk  ,£254.38,954,£289.46,1261.9,,,,,£254.38,954,243.84,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Nippet Lane  ,£660.36,3697.4,£668.12,4017.2,,,,,£660.36,3697.4,945.06,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Tinshill Mount  ,£270.58,1061.3,£277.48,1178.4,,,,,£270.58,1061.3,271.27,,,,,
Housing Leeds - Landlords Supply - 14 - 24 Woodbridge Gardens  ,£194.48,542,£187.37,526.4,,,,,£194.48,542,138.54,,,,,
Housing Leeds - Landlords Supply - 140 - 146 Otley Old Road  ,£248.00,903.7,£226.06,838.2,,,,,£248.00,903.7,230.99,,,,,
Housing Leeds - Landlords Supply - 140 - 154 Argie Avenue  ,£473.49,2392.9,£616.40,3700.4,,,,,£473.49,2392.9,611.63,,,,,
Housing Leeds - Landlords Supply - 141 Cardigan Road Flats  ,£925.40,5478.2,£910.19,5707.6,,,,,£925.40,5478.2,"1,400.23",,,,,
Housing Leeds - Landlords Supply - 143 - 153 Silk Mill Drive  ,£209.83,655.9,£191.35,558.2,,,,,£209.83,655.9,167.65,,,,,
Housing Leeds - Landlords Supply - 143 Cardigan Road Flats  ,£114.39,8,£111.73,6,,,,,£114.39,8,2.04,,,,,
Housing Leeds - Landlords Supply - 147- 157 Whinmoor Way  ,£244.97,893.4,£236.98,890.1,,,,,£244.97,893.4,228.35,,,,,
Housing Leeds - Landlords Supply - 147 Roundhay Road Flats  ,£132.23,8.5,£147.21,234.5,,,,,£132.23,8.5,2.17,,,,,
Housing Leeds - Landlords Supply - 148 - 158 Swinnow Lane  ,£188.47,508.1,£175.89,448.9,,,,,£188.47,508.1,129.87,,,,,
Housing Leeds - Landlords Supply - 149 Roundhay Road Flats  ,£117.79,22.2,£102.46,31.6,,,,,£117.79,22.2,5.67,,,,,
Housing Leeds - Landlords Supply - 15 - 20 Farndale View  ,£243.12,886.9,£220.48,770.5,,,,,£243.12,886.9,226.69,,,,,
Housing Leeds - Landlords Supply - 15 - 21 Fawcett Gardens  ,£306.52,1306.3,£317.96,1478.5,,,,,£306.52,1306.3,333.89,,,,,
Housing Leeds - Landlords Supply - 15 - 21 Town Street Walk  ,£194.37,545.5,£196.03,589.2,,,,,£194.37,545.5,139.43,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Butterbowl Drive  ,£173.44,408.7,£167.88,388.3,,,,,£173.44,408.7,104.46,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Butterbowl Gardens  ,£201.35,598.8,£197.60,603,,,,,£201.35,598.8,153.05,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Iveson Drive  ,£422.17,2087.3,£332.55,1522,,,,,£422.17,2087.3,533.51,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Lingfield Crescent  ,£282.96,1155.8,£251.87,993,,,,,£282.96,1155.8,295.42,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Lingfield Grove  ,£260.26,994.3,£252.50,999.2,,,,,£260.26,994.3,254.14,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Lingfield Walk  ,£261.90,1004.3,£287.52,1259.9,,,,,£261.90,1004.3,256.70,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Rigton Close  ,£736.32,4216.3,£592.28,3514.2,,,,,£736.32,4216.3,"1,077.69",,,,,
Housing Leeds - Landlords Supply - 15 - 25 Rigton Drive  ,£517.76,2768.9,£460.77,2509.3,,,,,£517.76,2768.9,707.73,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Saxon Mount  ,£259.50,975.1,£268.37,1117.9,,,,,£259.50,975.1,249.24,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Telford Terrace  ,£203.10,602.1,£212.45,728.1,,,,,£203.10,602.1,153.90,,,,,
Housing Leeds - Landlords Supply - 15 - 25 Tong Drive  ,£204.93,622.3,£200.27,622.2,,,,,£204.93,622.3,159.06,,,,,
Housing Leeds - Landlords Supply - 15 - 37 Fillingfir Road  ,£359.86,1649.7,£351.36,1713.1,,,,,£359.86,1649.7,421.66,,,,,
Housing Leeds - Landlords Supply - 15 Grange Terrace Flats  ,£113.37,0,£113.68,0,,,,,£113.37,0,0.00,,,,,
Housing Leeds - Landlords Supply - 15 Grange View Flats  ,"£2,241.28",12842,"£1,550.28",9238,,,,,"£2,241.28",12842,"3,282.42",,,,,
Housing Leeds - Landlords Supply - 15 Hamilton Avenue Flats  ,£115.06,13.6,£115.87,10.3,,,,,£115.06,13.6,3.48,,,,,
Housing Leeds - Landlords Supply - 15 Victoria Terrace Flats  ,£171.15,393.5,£169.48,389.7,,,,,£171.15,393.5,100.58,,,,,
Housing Leeds - Landlords Supply - 150 - 164 Queenshill Avenue  ,£360.02,1656.3,£312.22,1436,,,,,£360.02,1656.3,423.35,,,,,
Housing Leeds - Landlords Supply - 151 - 173 Argie Avenue  ,£696.17,3967.9,£621.52,3706.2,,,,,£696.17,3967.9,"1,014.20",,,,,
Housing Leeds - Landlords Supply - 151 Broadgate Lane Flats  ,£258.00,978.2,£292.99,1295.8,,,,,£258.00,978.2,250.03,,,,,
Housing Leeds - Landlords Supply - 153 Broadgate Lane Flats  ,£175.98,422,£226.72,804.6,,,,,£175.98,422,107.86,,,,,
Housing Leeds - Landlords Supply - 155 - 165 Silk Mill Drive  ,£322.14,1403.1,£319.59,1487.9,,,,,£322.14,1403.1,358.63,,,,,
Housing Leeds - Landlords Supply - 156 - 170 Argie Avenue  ,£507.51,2683,£517.35,2924.8,,,,,£507.51,2683,685.77,,,,,
Housing Leeds - Landlords Supply - 157 Roundhay Road Flats  ,£216.11,700.1,£210.81,695,,,,,£216.11,700.1,178.95,,,,,
Housing Leeds - Landlords Supply - 158 Hyde Park Road Flats  ,£128.29,0,£114.20,0,,,,,£128.29,0,0.00,,,,,
